file,tier,seed,hit_step,max_tcp_all,max_tcp_out_window,max_tcp_in_window
none_seed048,none,48,224,0.991497933357518,0.991497933357518,0.9792182540735529
none_seed049,none,49,-1,0.9992685200907823,nan,nan
none_seed050,none,50,-1,0.9767603162436639,nan,nan
softmin_only_seed001,softmin_only,1,225,0.9895994737672412,0.9772267804903565,0.9895994737672412
softmin_only_seed002,softmin_only,2,-1,0.9897672204317377,nan,nan
softmin_only_seed003,softmin_only,3,225,0.9937551410475263,0.9871502900572003,0.9929947317836828
softmin_only_seed004,softmin_only,4,-1,0.9933962619652774,nan,nan
softmin_only_seed005,softmin_only,5,-1,0.9856781081851957,nan,nan
softmin_only_seed006,softmin_only,6,226,0.9973688865130624,0.9973688865130624,0.9777544249058647
softmin_only_seed007,softmin_only,7,221,0.985174627076513,0.977333435116334,0.985174627076513
softmin_only_seed008,softmin_only,8,223,0.9921317459564732,0.9921317459564732,0.9777863295201314
softmin_only_seed009,softmin_only,9,227,0.9924080531647776,0.9924080531647776,0.9644054229794999
softmin_only_seed010,softmin_only,10,221,0.9756620293709914,0.9592837672524613,0.9756620293709914
softmin_only_seed011,softmin_only,11,-1,0.9954475228756754,nan,nan
softmin_only_seed012,softmin_only,12,222,0.9755303016755285,0.9722848848029257,0.9755303016755285
softmin_only_seed013,softmin_only,13,-1,0.9866627577818399,nan,nan
softmin_only_seed014,softmin_only,14,-1,0.9951624874172748,nan,nan
softmin_only_seed015,softmin_only,15,224,0.9925881796418484,0.9925881796418484,0.9617410042390409
softmin_only_seed016,softmin_only,16,232,0.9918277709239648,0.9918277709239648,0.9783187050472566
softmin_only_seed017,softmin_only,17,-1,0.9948582289285182,nan,nan
softmin_only_seed018,softmin_only,18,225,0.9948726621496136,0.9948726621496136,0.9809659550577348
softmin_only_seed019,softmin_only,19,221,0.9941140809432453,0.9918705397965004,0.9941140809432453
softmin_only_seed022,softmin_only,22,243,0.9795103655104394,0.9421912942606201,0.9795103655104394
softmin_only_seed023,softmin_only,23,227,0.9895060695095597,0.9889721586596845,0.9895060695095597
softmin_only_seed024,softmin_only,24,222,0.9915497233854543,0.9909939216681911,0.9915497233854543
softmin_only_seed025,softmin_only,25,-1,0.9891140608567028,nan,nan
softmin_only_seed026,softmin_only,26,224,0.9873525733655479,0.973769835122688,0.9873525733655479
softmin_only_seed028,softmin_only,28,-1,0.9964162527325092,nan,nan
softmin_only_seed029,softmin_only,29,-1,0.19440947006602557,nan,nan
softmin_only_seed030,softmin_only,30,-1,0.9881208664090286,nan,nan
softmin_only_seed031,softmin_only,31,-1,0.39259359940418576,nan,nan
softmin_only_seed032,softmin_only,32,225,0.9960103796882037,0.9907068150405066,0.9960103796882037
softmin_only_seed033,softmin_only,33,-1,0.2952484679264629,nan,nan
